Kota,Waktu,PM2.5 (µg/m³),PM10 (µg/m³),CO (µg/m³),NO2 (µg/m³),Ozon (µg/m³)
Surabaya,2026-02-16 22:00:00,32.67,37.31,817.39,9.87,55.98
Surabaya,2026-02-16 23:00:00,28.5,33.0,775.38,9.98,48.88
Surabaya,2026-02-17 00:00:00,26.33,30.74,758.47,10.38,43.23
Surabaya,2026-02-17 01:00:00,24.69,28.82,733.13,10.49,38.94
Surabaya,2026-02-17 02:00:00,23.79,27.66,714.34,10.41,36.01
Surabaya,2026-02-17 03:00:00,24.17,27.95,710.51,10.5,33.43
Surabaya,2026-02-17 04:00:00,25.28,29.07,713.01,10.67,31.19
Surabaya,2026-02-17 05:00:00,26.75,30.7,717.45,11.13,28.6
Surabaya,2026-02-17 06:00:00,28.61,32.98,730.17,11.89,26.06
Surabaya,2026-02-17 07:00:00,31.02,36.5,764.0,13.16,23.97
Surabaya,2026-02-17 08:00:00,34.02,41.1,830.3,14.98,23.26
Surabaya,2026-02-17 09:00:00,37.54,46.16,907.61,16.5,25.78
Surabaya,2026-02-17 10:00:00,42.29,52.05,976.06,16.51,36.36
Surabaya,2026-02-17 11:00:00,44.73,54.52,1009.87,16.69,49.85
Surabaya,2026-02-17 12:00:00,40.02,49.5,978.03,16.36,49.93
Surabaya,2026-02-17 13:00:00,36.01,45.22,962.92,16.19,47.11
Surabaya,2026-02-17 14:00:00,33.74,42.32,957.34,16.15,45.58
Surabaya,2026-02-17 15:00:00,33.09,41.22,967.54,16.4,42.86
Surabaya,2026-02-17 16:00:00,32.35,39.25,952.6,16.16,40.58
Surabaya,2026-02-17 17:00:00,27.61,31.22,787.71,13.78,40.74
Surabaya,2026-02-17 18:00:00,27.52,31.05,817.37,16.18,34.67
Surabaya,2026-02-17 19:00:00,27.72,31.55,847.04,17.91,29.28
Surabaya,2026-02-17 20:00:00,28.81,34.07,883.14,19.32,25.63
Surabaya,2026-02-17 21:00:00,30.79,38.26,919.37,20.14,24.01
Surabaya,2026-02-17 22:00:00,31.62,40.69,917.75,19.4,24.92
Surabaya,2026-02-17 23:00:00,31.04,40.62,879.97,17.72,26.9
Surabaya,2026-02-18 00:00:00,29.67,38.65,827.1,15.83,28.53
Surabaya,2026-02-18 01:00:00,28.91,36.98,780.58,14.2,29.19
Surabaya,2026-02-18 02:00:00,25.96,31.95,685.97,11.59,31.9
Surabaya,2026-02-18 03:00:00,25.07,29.75,631.57,10.0,33.05
Surabaya,2026-02-18 04:00:00,26.5,30.68,623.46,9.6,32.16
Surabaya,2026-02-18 05:00:00,28.27,32.06,615.36,9.47,31.39
Surabaya,2026-02-18 06:00:00,29.96,33.43,600.95,9.39,32.53
Surabaya,2026-02-18 07:00:00,30.55,34.14,594.96,9.61,35.94
Surabaya,2026-02-18 08:00:00,28.91,32.9,594.07,9.92,41.64
Surabaya,2026-02-18 09:00:00,26.12,30.47,585.64,10.13,46.1
Surabaya,2026-02-18 10:00:00,22.62,27.09,560.52,9.74,49.19
Surabaya,2026-02-18 11:00:00,18.6,22.11,533.94,9.07,50.27
Surabaya,2026-02-18 12:00:00,19.01,22.15,569.53,9.57,49.13
Surabaya,2026-02-18 13:00:00,20.53,23.62,614.7,10.39,47.99
Surabaya,2026-02-18 14:00:00,20.79,23.9,640.84,11.14,46.26
Surabaya,2026-02-18 15:00:00,19.88,23.13,660.46,11.91,44.51
Surabaya,2026-02-18 16:00:00,18.56,21.99,673.81,12.62,43.54
Surabaya,2026-02-18 17:00:00,17.88,21.66,686.81,13.33,44.7
Surabaya,2026-02-18 18:00:00,16.89,20.98,695.24,14.6,41.99
Surabaya,2026-02-18 19:00:00,15.3,19.35,663.64,13.95,40.29
Surabaya,2026-02-18 20:00:00,12.67,16.28,558.4,11.22,43.69
Surabaya,2026-02-18 21:00:00,12.05,16.41,534.36,10.23,44.15
Surabaya,2026-02-18 22:00:00,11.55,16.64,514.53,9.31,44.28
Surabaya,2026-02-18 23:00:00,11.89,17.76,522.94,9.07,42.59
Surabaya,2026-02-19 00:00:00,13.12,19.58,554.32,9.44,39.52
Surabaya,2026-02-19 01:00:00,14.2,20.79,568.82,9.44,37.13
Surabaya,2026-02-19 02:00:00,15.57,22.33,577.25,9.41,34.87
Surabaya,2026-02-19 03:00:00,17.47,24.61,592.27,9.52,32.29
Surabaya,2026-02-19 04:00:00,19.28,26.69,598.87,9.5,30.05
Surabaya,2026-02-19 05:00:00,20.66,28.1,599.0,9.31,28.42
Surabaya,2026-02-19 06:00:00,21.27,28.44,575.77,8.96,28.13
Surabaya,2026-02-19 07:00:00,22.13,29.38,550.43,8.77,29.37
Surabaya,2026-02-19 08:00:00,25.04,34.28,615.21,9.84,32.73
Surabaya,2026-02-19 09:00:00,31.14,44.66,788.59,12.77,40.56
Surabaya,2026-02-19 10:00:00,40.49,57.91,929.83,14.44,62.3
Surabaya,2026-02-19 11:00:00,51.22,70.85,1008.67,15.45,85.83
Surabaya,2026-02-19 12:00:00,57.13,76.98,1033.93,16.04,93.03
Surabaya,2026-02-19 13:00:00,57.61,76.71,1040.32,16.64,93.94
Surabaya,2026-02-19 14:00:00,56.35,74.68,1046.56,17.07,91.91
Surabaya,2026-02-19 15:00:00,55.88,73.54,1069.44,17.44,88.75
Surabaya,2026-02-19 16:00:00,52.45,67.95,1016.83,16.15,85.14
Surabaya,2026-02-19 17:00:00,31.26,37.43,562.19,7.46,76.42
Surabaya,2026-02-19 18:00:00,27.81,32.93,530.35,7.12,70.44
Surabaya,2026-02-19 19:00:00,26.86,31.89,546.79,7.53,64.9
Surabaya,2026-02-19 20:00:00,27.8,33.83,621.14,9.54,56.74
Surabaya,2026-02-19 21:00:00,30.52,38.46,733.57,12.23,48.0
Surabaya,2026-02-19 22:00:00,32.62,42.19,814.59,13.87,41.61
Surabaya,2026-02-19 23:00:00,35.26,46.53,897.63,15.4,35.98
Surabaya,2026-02-20 00:00:00,38.84,51.54,995.29,17.14,30.57
Surabaya,2026-02-20 01:00:00,42.45,56.08,1076.14,18.34,25.77
Surabaya,2026-02-20 02:00:00,45.07,59.11,1125.3,18.84,22.38
Surabaya,2026-02-20 03:00:00,47.41,61.16,1146.96,18.96,19.78
Surabaya,2026-02-20 04:00:00,49.78,62.54,1147.47,18.86,17.58
Surabaya,2026-02-20 05:00:00,49.21,60.45,1117.72,18.58,15.54
Surabaya,2026-02-20 06:00:00,47.45,57.36,1068.33,18.25,13.91
Surabaya,2026-02-20 07:00:00,45.85,55.56,1023.24,17.53,14.47
Surabaya,2026-02-20 08:00:00,35.96,43.4,805.26,11.63,30.42
Surabaya,2026-02-20 09:00:00,37.6,45.31,798.55,11.34,43.46
Surabaya,2026-02-20 10:00:00,43.45,50.94,770.87,10.07,68.5
Surabaya,2026-02-20 11:00:00,45.68,53.17,726.35,9.48,80.78
Surabaya,2026-02-20 12:00:00,43.66,52.04,733.72,10.62,77.0
Surabaya,2026-02-20 13:00:00,43.72,52.77,770.4,11.86,77.87
Surabaya,2026-02-20 14:00:00,41.82,49.99,797.18,13.62,73.13
Surabaya,2026-02-20 15:00:00,36.67,43.3,789.27,14.75,61.06
Surabaya,2026-02-20 16:00:00,30.77,35.75,735.26,14.66,51.1
Surabaya,2026-02-20 17:00:00,24.52,27.68,621.61,13.0,43.45
Surabaya,2026-02-20 18:00:00,22.85,25.97,623.83,13.6,37.34
Surabaya,2026-02-20 19:00:00,22.07,25.42,633.79,13.94,33.05
Surabaya,2026-02-20 20:00:00,21.33,24.98,631.19,13.79,30.64
Surabaya,2026-02-20 21:00:00,21.43,25.2,625.89,13.18,30.74
Surabaya,2026-02-20 22:00:00,22.55,26.33,627.63,12.4,32.87
Surabaya,2026-02-20 23:00:00,23.51,25.91,598.77,9.87,39.9
Surabaya,2026-02-21 00:00:00,24.0,25.81,597.84,8.95,43.28
Surabaya,2026-02-21 01:00:00,23.73,25.21,592.68,8.42,44.93
Surabaya,2026-02-21 02:00:00,21.67,22.95,579.22,8.04,45.98
Surabaya,2026-02-21 03:00:00,19.45,20.63,556.03,7.68,46.59
Surabaya,2026-02-21 04:00:00,17.77,18.87,528.61,7.22,46.29
Surabaya,2026-02-21 05:00:00,17.06,18.38,513.01,7.03,44.85
Surabaya,2026-02-21 06:00:00,17.57,19.47,515.58,7.5,42.04
Surabaya,2026-02-21 07:00:00,18.62,21.45,531.53,8.33,39.34
Surabaya,2026-02-21 08:00:00,20.44,24.27,562.71,8.18,41.79
Surabaya,2026-02-21 09:00:00,24.07,28.5,583.06,7.37,55.02
Surabaya,2026-02-21 10:00:00,31.4,35.85,571.08,5.17,80.28
Surabaya,2026-02-21 11:00:00,32.69,36.13,494.0,2.81,92.04
Surabaya,2026-02-21 12:00:00,33.66,37.07,482.2,2.48,95.46
Surabaya,2026-02-21 13:00:00,34.11,37.57,488.61,2.59,97.51
Surabaya,2026-02-21 14:00:00,29.98,32.96,491.21,3.48,89.39
Surabaya,2026-02-21 15:00:00,24.02,26.27,482.31,3.84,77.59
Surabaya,2026-02-21 16:00:00,20.19,21.85,466.77,3.66,71.03
Surabaya,2026-02-21 17:00:00,17.82,18.94,442.3,3.17,68.31
Surabaya,2026-02-21 18:00:00,17.77,18.96,447.75,3.42,65.62
Surabaya,2026-02-21 19:00:00,17.99,19.38,451.1,3.76,61.94
Surabaya,2026-02-21 20:00:00,18.71,21.05,482.08,4.99,55.19
Surabaya,2026-02-21 21:00:00,19.82,23.45,528.45,6.34,48.72
Surabaya,2026-02-21 22:00:00,20.75,25.33,560.83,7.14,44.04
Surabaya,2026-02-21 23:00:00,21.81,26.95,590.19,7.69,40.59
Surabaya,2026-02-22 00:00:00,22.99,28.09,616.87,8.1,38.28
Surabaya,2026-02-22 01:00:00,23.92,28.68,633.34,8.25,36.93
Surabaya,2026-02-22 02:00:00,23.52,27.65,628.08,7.91,37.12
Surabaya,2026-02-22 03:00:00,22.53,25.81,608.82,7.23,38.36
Surabaya,2026-02-22 04:00:00,21.27,23.75,586.04,6.47,39.95
Surabaya,2026-02-22 05:00:00,18.79,20.1,542.1,4.46,45.61
Surabaya,2026-02-22 06:00:00,17.86,18.83,538.2,3.85,47.04
Surabaya,2026-02-22 07:00:00,17.05,18.04,542.04,3.86,46.92
Surabaya,2026-02-22 08:00:00,14.14,15.09,525.35,3.9,47.28
Surabaya,2026-02-22 09:00:00,11.98,12.9,505.72,3.91,47.52
Surabaya,2026-02-22 10:00:00,10.8,11.71,482.25,3.77,47.94
Surabaya,2026-02-22 11:00:00,9.48,10.28,441.55,3.35,48.81
Surabaya,2026-02-22 12:00:00,8.55,9.21,398.05,2.77,50.2
Surabaya,2026-02-22 13:00:00,7.98,8.54,356.38,2.22,51.17
Surabaya,2026-02-22 14:00:00,7.3,7.83,318.21,1.89,50.73
Surabaya,2026-02-22 15:00:00,6.29,6.81,283.79,1.73,48.37
Surabaya,2026-02-22 16:00:00,4.92,5.44,250.01,1.54,45.22
Surabaya,2026-02-22 17:00:00,3.57,4.08,220.7,1.44,41.01
Surabaya,2026-02-22 18:00:00,2.49,3.01,199.22,1.4,36.78
Surabaya,2026-02-22 19:00:00,1.82,2.44,184.4,1.33,33.18
Surabaya,2026-02-22 20:00:00,1.43,2.15,174.44,1.27,30.35
Surabaya,2026-02-22 21:00:00,1.2,1.96,168.3,1.22,28.26
Surabaya,2026-02-22 22:00:00,1.05,1.81,163.57,1.15,26.84
Surabaya,2026-02-22 23:00:00,0.94,1.65,160.37,1.08,25.97
Surabaya,2026-02-23 00:00:00,0.81,1.34,156.24,0.97,25.66
Surabaya,2026-02-23 01:00:00,0.71,1.15,153.87,0.85,25.85
Surabaya,2026-02-23 02:00:00,0.68,1.08,153.62,0.74,26.63
Surabaya,2026-02-23 03:00:00,0.79,1.18,159.53,0.72,27.6
Surabaya,2026-02-23 04:00:00,1.05,1.46,170.53,0.8,28.41
Surabaya,2026-02-23 05:00:00,1.37,1.78,184.27,0.97,28.95
Surabaya,2026-02-23 06:00:00,1.85,2.33,203.26,1.31,28.86
Surabaya,2026-02-23 07:00:00,2.53,3.33,230.9,1.88,28.38
Surabaya,2026-02-23 08:00:00,3.32,4.53,265.63,2.6,28.05
Surabaya,2026-02-23 09:00:00,4.26,5.82,300.84,3.14,29.33
Surabaya,2026-02-23 10:00:00,5.64,7.4,332.68,3.29,34.17
Surabaya,2026-02-23 11:00:00,8.41,10.22,368.42,3.31,43.62
Surabaya,2026-02-23 12:00:00,12.6,14.21,398.58,3.02,55.81
Surabaya,2026-02-23 13:00:00,17.5,18.83,424.86,2.71,67.32
Surabaya,2026-02-23 14:00:00,20.55,21.6,442.67,2.77,73.25
Surabaya,2026-02-23 15:00:00,20.11,20.97,452.0,3.1,71.8
Surabaya,2026-02-23 16:00:00,17.31,18.0,444.83,3.39,66.24
Surabaya,2026-02-23 17:00:00,12.19,12.7,396.55,3.07,58.14
Surabaya,2026-02-23 18:00:00,9.66,10.18,362.2,2.81,53.8
Surabaya,2026-02-23 19:00:00,8.55,9.17,333.76,2.51,52.47
Surabaya,2026-02-23 20:00:00,8.1,8.88,311.5,2.24,52.25
Surabaya,2026-02-23 21:00:00,7.87,8.74,297.23,2.08,51.94
Malang,2026-02-16 22:00:00,12.52,14.09,317.83,0.77,61.38
Malang,2026-02-16 23:00:00,13.22,14.74,344.96,1.02,59.5
Malang,2026-02-17 00:00:00,12.7,14.22,363.76,1.23,57.2
Malang,2026-02-17 01:00:00,11.25,12.78,370.1,1.36,54.6
Malang,2026-02-17 02:00:00,9.38,10.91,364.35,1.41,52.02
Malang,2026-02-17 03:00:00,7.85,9.39,353.4,1.4,49.62
Malang,2026-02-17 04:00:00,7.14,8.65,346.91,1.4,47.81
Malang,2026-02-17 05:00:00,6.97,8.4,347.2,1.45,46.37
Malang,2026-02-17 06:00:00,7.14,8.45,353.22,1.55,45.06
Malang,2026-02-17 07:00:00,7.43,8.63,360.77,1.72,43.85
Malang,2026-02-17 08:00:00,7.93,9.17,368.6,1.96,43.11
Malang,2026-02-17 09:00:00,8.31,9.6,367.73,2.03,43.2
Malang,2026-02-17 10:00:00,8.36,9.6,355.46,1.82,44.34
Malang,2026-02-17 11:00:00,8.59,9.88,335.26,1.32,47.48
Malang,2026-02-17 12:00:00,9.01,10.45,309.19,0.91,50.75
Malang,2026-02-17 13:00:00,9.26,10.86,281.72,0.64,53.13
Malang,2026-02-17 14:00:00,9.87,11.68,257.0,0.44,55.72
Malang,2026-02-17 15:00:00,10.76,12.78,247.67,0.44,57.05
Malang,2026-02-17 16:00:00,12.49,14.66,258.94,0.55,58.89
Malang,2026-02-17 17:00:00,15.03,17.22,294.71,0.83,61.47
Malang,2026-02-17 18:00:00,18.03,20.19,346.96,1.29,63.44
Malang,2026-02-17 19:00:00,21.25,23.35,416.09,2.08,64.45
Malang,2026-02-17 20:00:00,23.58,25.63,485.81,3.24,62.47
Malang,2026-02-17 21:00:00,25.06,27.31,543.3,4.53,58.84
Malang,2026-02-17 22:00:00,26.47,29.15,593.0,5.76,55.55
Malang,2026-02-17 23:00:00,26.85,29.43,606.15,6.09,54.92
Malang,2026-02-18 00:00:00,26.71,29.13,587.61,5.43,56.89
Malang,2026-02-18 01:00:00,26.11,28.37,547.79,4.29,60.34
Malang,2026-02-18 02:00:00,24.09,25.95,482.11,2.91,63.57
Malang,2026-02-18 03:00:00,20.8,22.47,420.75,2.04,62.85
Malang,2026-02-18 04:00:00,17.71,19.3,379.56,1.75,58.33
Malang,2026-02-18 05:00:00,15.61,17.07,362.34,1.82,52.98
Malang,2026-02-18 06:00:00,14.82,16.19,364.65,2.1,48.34
Malang,2026-02-18 07:00:00,15.27,16.61,379.7,2.55,45.25
Malang,2026-02-18 08:00:00,16.66,18.05,400.89,3.16,43.76
Malang,2026-02-18 09:00:00,18.07,19.5,418.74,3.64,44.55
Malang,2026-02-18 10:00:00,19.33,20.73,432.5,3.86,47.37
Malang,2026-02-18 11:00:00,20.77,22.14,440.2,3.56,54.28
Malang,2026-02-18 12:00:00,22.7,24.15,450.61,3.49,59.94
Malang,2026-02-18 13:00:00,24.86,26.42,467.44,3.49,64.03
Malang,2026-02-18 14:00:00,25.86,27.47,482.71,3.56,66.52
Malang,2026-02-18 15:00:00,25.14,26.87,496.22,3.8,66.89
Malang,2026-02-18 16:00:00,23.8,25.71,502.14,4.03,66.7
Malang,2026-02-18 17:00:00,22.29,24.27,498.4,4.13,67.14
Malang,2026-02-18 18:00:00,20.54,22.54,487.23,4.02,67.18
Malang,2026-02-18 19:00:00,19.1,21.11,474.77,3.62,66.69
Malang,2026-02-18 20:00:00,17.97,20.02,464.68,3.36,65.9
Malang,2026-02-18 21:00:00,17.0,19.19,456.83,3.31,64.48
Malang,2026-02-18 22:00:00,16.05,18.44,448.97,3.32,62.88
Malang,2026-02-18 23:00:00,15.05,17.69,437.92,3.3,61.26
Malang,2026-02-19 00:00:00,14.25,17.16,427.65,3.25,59.64
Malang,2026-02-19 01:00:00,13.64,16.78,419.15,3.16,58.28
Malang,2026-02-19 02:00:00,13.24,16.51,412.01,3.04,57.17
Malang,2026-02-19 03:00:00,13.03,16.37,409.38,2.96,56.06
Malang,2026-02-19 04:00:00,12.95,16.28,409.32,2.91,54.96
Malang,2026-02-19 05:00:00,13.04,16.39,411.6,2.89,53.85
Malang,2026-02-19 06:00:00,13.54,16.98,415.63,2.94,52.45
Malang,2026-02-19 07:00:00,14.11,17.57,416.86,3.11,51.63
Malang,2026-02-19 08:00:00,14.59,17.92,409.04,2.96,53.54
Malang,2026-02-19 09:00:00,15.96,19.06,395.69,2.36,61.04
Malang,2026-02-19 10:00:00,19.12,21.91,382.91,1.55,72.49
Malang,2026-02-19 11:00:00,22.38,24.67,376.19,0.95,82.41
Malang,2026-02-19 12:00:00,24.87,26.69,370.26,0.72,87.59
Malang,2026-02-19 13:00:00,27.55,29.11,364.11,0.62,90.48
Malang,2026-02-19 14:00:00,30.35,31.78,364.2,0.61,93.19
Malang,2026-02-19 15:00:00,32.61,33.98,366.2,0.64,95.68
Malang,2026-02-19 16:00:00,33.87,35.23,370.87,0.76,97.59
Malang,2026-02-19 17:00:00,34.22,35.62,377.66,0.95,98.52
Malang,2026-02-19 18:00:00,34.43,35.89,382.03,1.06,97.94
Malang,2026-02-19 19:00:00,35.04,36.65,386.63,1.02,97.26
Malang,2026-02-19 20:00:00,35.37,37.12,386.99,0.91,96.61
Malang,2026-02-19 21:00:00,35.42,37.28,385.54,0.85,95.91
Malang,2026-02-19 22:00:00,35.32,37.3,383.05,0.84,95.53
Malang,2026-02-19 23:00:00,34.66,36.71,378.26,0.85,95.43
Malang,2026-02-20 00:00:00,34.1,36.26,379.68,0.89,95.74
Malang,2026-02-20 01:00:00,33.47,35.73,383.66,0.94,96.27
Malang,2026-02-20 02:00:00,32.57,34.78,391.0,1.02,96.97
Malang,2026-02-20 03:00:00,31.75,33.88,403.58,1.15,97.45
Malang,2026-02-20 04:00:00,31.55,33.65,421.07,1.3,96.98
Malang,2026-02-20 05:00:00,31.6,33.42,442.2,1.47,95.56
Malang,2026-02-20 06:00:00,32.55,34.07,467.15,1.65,93.99
Malang,2026-02-20 07:00:00,33.99,35.32,491.13,1.83,92.69
Malang,2026-02-20 08:00:00,34.68,36.08,546.36,2.86,80.39
Malang,2026-02-20 09:00:00,36.26,37.96,570.87,3.29,78.24
Malang,2026-02-20 10:00:00,38.36,40.31,586.19,3.23,80.69
Malang,2026-02-20 11:00:00,45.69,48.05,608.67,2.46,95.68
Malang,2026-02-20 12:00:00,54.39,57.09,624.31,1.92,108.51
Malang,2026-02-20 13:00:00,60.61,63.3,617.55,1.44,116.0
Malang,2026-02-20 14:00:00,61.14,63.33,591.34,1.41,116.23
Malang,2026-02-20 15:00:00,54.68,56.39,551.63,1.5,109.45
Malang,2026-02-20 16:00:00,48.67,50.22,523.82,1.73,105.14
Malang,2026-02-20 17:00:00,41.24,42.31,489.49,1.81,103.77
Malang,2026-02-20 18:00:00,38.49,39.39,482.12,1.92,105.41
Malang,2026-02-20 19:00:00,38.55,39.37,491.9,2.01,108.41
Malang,2026-02-20 20:00:00,39.34,40.15,508.67,2.08,109.75
Malang,2026-02-20 21:00:00,41.53,42.41,533.16,2.03,111.09
Malang,2026-02-20 22:00:00,39.85,40.81,530.62,1.84,108.13
Malang,2026-02-20 23:00:00,34.58,35.62,488.96,1.62,97.92
Malang,2026-02-21 00:00:00,28.01,29.11,428.62,1.48,84.39
Malang,2026-02-21 01:00:00,21.26,22.37,371.84,1.34,74.11
Malang,2026-02-21 02:00:00,16.83,17.92,332.28,1.16,69.32
Malang,2026-02-21 03:00:00,13.91,14.94,310.27,0.99,68.75
Malang,2026-02-21 04:00:00,12.02,12.97,300.05,0.92,69.75
Malang,2026-02-21 05:00:00,10.18,11.13,285.52,0.84,69.78
Malang,2026-02-21 06:00:00,8.75,9.74,271.94,0.85,67.44
Malang,2026-02-21 07:00:00,7.79,8.79,264.68,0.96,64.26
Malang,2026-02-21 08:00:00,7.45,8.49,263.64,1.13,61.19
Malang,2026-02-21 09:00:00,7.86,9.01,265.12,1.19,60.15
Malang,2026-02-21 10:00:00,8.36,9.61,261.88,1.02,60.77
Malang,2026-02-21 11:00:00,9.36,10.62,261.07,0.8,62.97
Malang,2026-02-21 12:00:00,10.03,11.17,263.06,0.7,64.06
Malang,2026-02-21 13:00:00,9.84,10.86,264.0,0.67,63.43
Malang,2026-02-21 14:00:00,8.98,9.94,260.91,0.64,61.68
Malang,2026-02-21 15:00:00,7.47,8.48,246.45,0.59,58.39
Malang,2026-02-21 16:00:00,5.37,6.41,221.68,0.52,53.87
Malang,2026-02-21 17:00:00,3.39,4.36,195.91,0.44,49.06
Malang,2026-02-21 18:00:00,2.39,3.29,181.89,0.37,46.67
Malang,2026-02-21 19:00:00,2.51,3.31,186.07,0.37,47.91
Malang,2026-02-21 20:00:00,3.38,4.07,200.88,0.42,50.97
Malang,2026-02-21 21:00:00,4.05,4.71,210.88,0.49,52.85
Malang,2026-02-21 22:00:00,4.21,4.88,214.23,0.55,53.23
Malang,2026-02-21 23:00:00,4.22,4.89,216.36,0.6,52.94
Malang,2026-02-22 00:00:00,4.63,5.36,222.37,0.66,52.8
Malang,2026-02-22 01:00:00,5.23,6.01,229.43,0.69,53.04
Malang,2026-02-22 02:00:00,5.76,6.62,234.07,0.69,53.35
Malang,2026-02-22 03:00:00,6.06,7.01,236.11,0.68,53.45
Malang,2026-02-22 04:00:00,5.99,6.98,235.52,0.65,52.98
Malang,2026-02-22 05:00:00,5.57,6.56,232.45,0.6,52.32
Malang,2026-02-22 06:00:00,4.94,5.83,230.06,0.57,51.17
Malang,2026-02-22 07:00:00,4.37,5.14,230.64,0.6,49.65
Malang,2026-02-22 08:00:00,3.92,4.63,231.43,0.68,48.21
Malang,2026-02-22 09:00:00,3.22,3.95,218.25,0.63,46.69
Malang,2026-02-22 10:00:00,2.44,3.16,193.67,0.45,44.69
Malang,2026-02-22 11:00:00,1.82,2.56,170.59,0.27,41.7
Malang,2026-02-22 12:00:00,1.52,2.43,156.41,0.16,38.25
Malang,2026-02-22 13:00:00,1.32,2.41,145.9,0.11,34.5
Malang,2026-02-22 14:00:00,1.11,2.21,136.7,0.08,30.78
Malang,2026-02-22 15:00:00,0.9,1.86,128.52,0.07,27.84
Malang,2026-02-22 16:00:00,0.74,1.55,121.58,0.06,25.92
Malang,2026-02-22 17:00:00,0.62,1.31,115.7,0.06,24.68
Malang,2026-02-22 18:00:00,0.57,1.22,111.04,0.06,23.91
Malang,2026-02-22 19:00:00,0.54,1.14,108.32,0.07,23.55
Malang,2026-02-22 20:00:00,0.52,1.13,107.09,0.06,23.49
Malang,2026-02-22 21:00:00,0.51,1.08,106.91,0.06,23.55
Malang,2026-02-22 22:00:00,0.5,0.99,108.14,0.06,23.74
Malang,2026-02-22 23:00:00,0.5,0.99,111.09,0.06,24.05
Malang,2026-02-23 00:00:00,0.52,1.13,115.49,0.06,24.62
Malang,2026-02-23 01:00:00,0.57,1.32,121.2,0.06,25.5
Malang,2026-02-23 02:00:00,0.6,1.52,128.24,0.06,26.84
Malang,2026-02-23 03:00:00,0.61,1.67,134.87,0.06,28.23
Malang,2026-02-23 04:00:00,0.66,1.81,139.74,0.06,29.38
Malang,2026-02-23 05:00:00,0.66,1.65,142.99,0.07,30.12
Malang,2026-02-23 06:00:00,0.64,1.5,145.16,0.07,30.47
Malang,2026-02-23 07:00:00,0.61,1.4,147.17,0.08,30.6
Malang,2026-02-23 08:00:00,0.62,1.42,148.3,0.11,30.31
Malang,2026-02-23 09:00:00,0.67,1.49,150.13,0.16,30.1
Malang,2026-02-23 10:00:00,0.84,1.66,154.25,0.27,30.35
Malang,2026-02-23 11:00:00,1.17,1.87,164.52,0.4,32.47
Malang,2026-02-23 12:00:00,1.82,2.47,180.06,0.49,37.12
Malang,2026-02-23 13:00:00,2.9,3.54,199.45,0.56,42.93
Malang,2026-02-23 14:00:00,4.02,4.74,218.0,0.61,47.16
Malang,2026-02-23 15:00:00,4.18,5.02,223.1,0.61,46.79
Malang,2026-02-23 16:00:00,3.49,4.47,215.07,0.56,43.31
Malang,2026-02-23 17:00:00,2.75,3.95,200.62,0.47,39.19
Malang,2026-02-23 18:00:00,2.35,3.81,186.22,0.39,35.84
Malang,2026-02-23 19:00:00,2.06,3.66,173.56,0.31,33.31
Malang,2026-02-23 20:00:00,1.79,3.43,162.82,0.24,31.39
Malang,2026-02-23 21:00:00,1.53,3.1,153.14,0.17,29.72
Tulungagung,2026-02-16 22:00:00,6.29,7.58,241.63,0.38,52.03
Tulungagung,2026-02-16 23:00:00,5.83,7.07,246.49,0.44,50.14
