Kota,Waktu,PM2.5 (µg/m³),PM10 (µg/m³),CO (µg/m³),NO2 (µg/m³),Ozon (µg/m³)
Madiun,2026-02-16 22:00:00,11.18,12.41,364.95,2.14,52.94
Madiun,2026-02-16 23:00:00,10.68,11.91,368.57,2.18,50.21
Madiun,2026-02-17 00:00:00,10.55,11.8,371.94,2.18,48.8
Madiun,2026-02-17 01:00:00,10.55,11.78,376.36,2.2,48.07
Madiun,2026-02-17 02:00:00,10.29,11.5,377.38,2.23,47.5
Madiun,2026-02-17 03:00:00,9.73,10.93,371.84,2.24,46.38
Madiun,2026-02-17 04:00:00,9.02,10.2,362.79,2.17,45.0
Madiun,2026-02-17 05:00:00,8.39,9.55,352.34,2.03,43.43
Madiun,2026-02-17 06:00:00,7.99,9.09,344.37,1.91,42.01
Madiun,2026-02-17 07:00:00,7.86,8.92,343.76,1.95,40.44
Madiun,2026-02-17 08:00:00,9.01,10.47,372.16,2.55,38.67
Madiun,2026-02-17 09:00:00,11.44,13.69,419.0,3.45,37.71
Madiun,2026-02-17 10:00:00,14.63,17.65,464.74,4.08,39.2
Madiun,2026-02-17 11:00:00,18.73,22.35,502.56,4.36,46.19
Madiun,2026-02-17 12:00:00,22.0,25.93,518.1,4.48,53.71
Madiun,2026-02-17 13:00:00,25.0,29.13,528.71,4.54,59.87
Madiun,2026-02-17 14:00:00,29.68,33.98,545.7,4.38,67.9
Madiun,2026-02-17 15:00:00,35.25,39.67,571.17,4.41,76.16
Madiun,2026-02-17 16:00:00,38.87,43.22,588.92,4.55,82.09
Madiun,2026-02-17 17:00:00,37.89,40.79,534.38,3.93,88.2
Madiun,2026-02-17 18:00:00,33.53,35.76,481.5,3.46,86.06
Madiun,2026-02-17 19:00:00,29.75,31.64,441.14,2.78,81.97
Madiun,2026-02-17 20:00:00,27.29,28.96,422.06,2.39,79.51
Madiun,2026-02-17 21:00:00,27.37,29.0,427.76,2.38,78.69
Madiun,2026-02-17 22:00:00,26.06,27.71,421.55,2.49,74.93
Madiun,2026-02-17 23:00:00,23.1,24.56,402.35,2.74,67.64
Madiun,2026-02-18 00:00:00,20.08,21.24,383.86,3.02,60.24
Madiun,2026-02-18 01:00:00,17.91,18.85,369.92,3.16,54.28
Madiun,2026-02-18 02:00:00,16.24,17.13,356.91,3.13,49.91
Madiun,2026-02-18 03:00:00,15.42,16.34,348.7,3.04,47.59
Madiun,2026-02-18 04:00:00,15.14,16.08,345.06,2.93,47.65
Madiun,2026-02-18 05:00:00,15.84,16.83,352.38,3.02,48.47
Madiun,2026-02-18 06:00:00,17.88,18.99,378.73,3.42,48.93
Madiun,2026-02-18 07:00:00,20.32,21.59,413.85,4.02,49.79
Madiun,2026-02-18 08:00:00,22.68,24.09,449.48,4.94,50.68
Madiun,2026-02-18 09:00:00,23.87,25.34,471.91,5.73,52.29
Madiun,2026-02-18 10:00:00,24.33,25.81,488.35,6.24,55.74
Madiun,2026-02-18 11:00:00,23.42,24.7,488.45,5.8,60.62
Madiun,2026-02-18 12:00:00,22.76,23.94,493.94,5.01,63.31
Madiun,2026-02-18 13:00:00,23.36,24.57,516.23,4.68,64.87
Madiun,2026-02-18 14:00:00,24.59,25.97,538.19,4.33,67.26
Madiun,2026-02-18 15:00:00,25.06,26.85,537.44,4.2,68.9
Madiun,2026-02-18 16:00:00,25.29,27.46,521.64,4.24,70.92
Madiun,2026-02-18 17:00:00,22.98,24.92,484.59,4.37,70.93
Madiun,2026-02-18 18:00:00,19.35,21.06,447.98,4.63,68.7
Madiun,2026-02-18 19:00:00,17.63,19.36,437.59,4.92,66.05
Madiun,2026-02-18 20:00:00,16.82,18.81,437.1,5.26,63.38
Madiun,2026-02-18 21:00:00,16.85,19.19,442.3,5.54,61.25
Madiun,2026-02-18 22:00:00,17.49,20.08,445.41,5.58,59.97
Madiun,2026-02-18 23:00:00,18.43,20.89,437.44,4.71,61.53
Madiun,2026-02-19 00:00:00,20.18,22.66,440.51,4.19,62.08
Madiun,2026-02-19 01:00:00,21.69,24.23,445.32,3.91,61.61
Madiun,2026-02-19 02:00:00,23.19,25.82,449.51,3.67,61.16
Madiun,2026-02-19 03:00:00,24.47,27.14,451.32,3.55,60.08
Madiun,2026-02-19 04:00:00,25.21,27.89,451.02,3.53,57.98
Madiun,2026-02-19 05:00:00,25.42,28.1,448.96,3.58,54.75
Madiun,2026-02-19 06:00:00,25.49,28.23,447.22,3.69,51.41
Madiun,2026-02-19 07:00:00,25.7,28.58,447.95,3.99,48.78
Madiun,2026-02-19 08:00:00,26.26,29.6,458.34,4.31,48.43
Madiun,2026-02-19 09:00:00,28.33,32.38,476.63,4.3,54.67
Madiun,2026-02-19 10:00:00,34.49,39.17,491.74,3.51,71.82
Madiun,2026-02-19 11:00:00,43.47,48.41,494.24,2.45,94.51
Madiun,2026-02-19 12:00:00,48.31,53.13,481.35,2.13,105.55
Madiun,2026-02-19 13:00:00,51.97,56.68,471.27,1.98,112.07
Madiun,2026-02-19 14:00:00,55.78,60.43,468.29,2.09,116.52
Madiun,2026-02-19 15:00:00,58.33,62.84,469.61,2.36,117.7
Madiun,2026-02-19 16:00:00,58.71,62.82,462.54,2.57,116.48
Madiun,2026-02-19 17:00:00,51.84,54.56,417.18,2.29,109.39
Madiun,2026-02-19 18:00:00,46.75,49.05,398.47,2.26,104.86
Madiun,2026-02-19 19:00:00,42.59,44.69,388.5,2.12,103.03
Madiun,2026-02-19 20:00:00,37.38,39.25,378.91,2.01,101.59
Madiun,2026-02-19 21:00:00,34.37,36.1,384.75,2.05,101.5
Madiun,2026-02-19 22:00:00,36.02,37.74,408.81,2.14,103.37
Madiun,2026-02-19 23:00:00,41.43,43.22,448.19,2.22,106.7
Madiun,2026-02-20 00:00:00,47.62,49.48,492.68,2.22,110.53
Madiun,2026-02-20 01:00:00,50.73,52.59,528.41,2.14,111.73
Madiun,2026-02-20 02:00:00,52.4,54.01,559.46,2.09,110.49
Madiun,2026-02-20 03:00:00,54.14,55.51,585.17,2.1,107.65
Madiun,2026-02-20 04:00:00,51.51,52.71,592.65,2.11,100.51
Madiun,2026-02-20 05:00:00,44.74,45.8,582.37,2.15,91.07
Madiun,2026-02-20 06:00:00,38.42,39.43,572.57,2.38,81.71
Madiun,2026-02-20 07:00:00,33.8,34.87,565.58,2.81,73.47
Madiun,2026-02-20 08:00:00,32.66,34.83,608.6,4.21,65.38
Madiun,2026-02-20 09:00:00,33.16,36.22,634.69,4.91,64.85
Madiun,2026-02-20 10:00:00,37.04,41.04,668.67,5.24,71.67
Madiun,2026-02-20 11:00:00,47.5,52.24,696.03,4.75,91.6
Madiun,2026-02-20 12:00:00,57.64,62.59,695.57,4.16,107.49
Madiun,2026-02-20 13:00:00,64.47,69.24,668.1,3.61,118.02
Madiun,2026-02-20 14:00:00,67.5,71.43,633.9,3.34,125.31
Madiun,2026-02-20 15:00:00,68.94,72.55,627.37,3.55,129.6
Madiun,2026-02-20 16:00:00,68.6,72.14,627.12,3.83,130.87
Madiun,2026-02-20 17:00:00,64.01,67.32,614.2,3.93,125.65
Madiun,2026-02-20 18:00:00,55.71,58.94,578.42,3.64,114.23
Madiun,2026-02-20 19:00:00,43.95,47.32,510.48,3.05,98.71
Madiun,2026-02-20 20:00:00,31.82,35.02,422.37,2.2,84.87
Madiun,2026-02-20 21:00:00,22.98,25.75,351.6,1.64,74.94
Madiun,2026-02-20 22:00:00,17.22,19.58,297.85,1.23,69.07
Madiun,2026-02-20 23:00:00,13.7,15.84,261.72,1.0,65.76
Madiun,2026-02-21 00:00:00,11.75,13.86,243.71,0.95,63.57
Madiun,2026-02-21 01:00:00,10.4,12.4,233.92,1.0,61.62
Madiun,2026-02-21 02:00:00,9.24,11.03,227.82,1.1,59.5
Madiun,2026-02-21 03:00:00,8.45,9.98,229.04,1.25,57.3
Madiun,2026-02-21 04:00:00,8.22,9.59,239.37,1.45,55.34
Madiun,2026-02-21 05:00:00,8.39,9.76,255.57,1.63,53.41
Madiun,2026-02-21 06:00:00,8.77,10.23,271.9,1.79,51.35
Madiun,2026-02-21 07:00:00,9.16,10.69,285.31,1.98,49.39
Madiun,2026-02-21 08:00:00,9.37,10.89,291.07,2.06,48.34
Madiun,2026-02-21 09:00:00,9.74,11.29,302.63,2.19,47.81
Madiun,2026-02-21 10:00:00,10.3,11.89,313.6,2.23,48.32
Madiun,2026-02-21 11:00:00,10.42,11.93,315.72,2.02,50.24
Madiun,2026-02-21 12:00:00,10.07,11.55,309.82,1.68,52.23
Madiun,2026-02-21 13:00:00,10.22,11.75,299.04,1.35,54.27
Madiun,2026-02-21 14:00:00,9.96,11.52,276.52,0.99,55.61
Madiun,2026-02-21 15:00:00,8.41,9.8,247.15,0.79,54.41
Madiun,2026-02-21 16:00:00,6.49,7.66,222.09,0.67,52.55
Madiun,2026-02-21 17:00:00,5.01,5.92,206.5,0.62,51.28
Madiun,2026-02-21 18:00:00,4.35,5.13,203.4,0.64,51.12
Madiun,2026-02-21 19:00:00,4.45,5.25,210.37,0.72,51.42
Madiun,2026-02-21 20:00:00,5.34,6.2,226.23,0.9,51.88
Madiun,2026-02-21 21:00:00,6.71,7.67,245.55,1.09,52.67
Madiun,2026-02-21 22:00:00,8.26,9.34,265.46,1.29,53.28
Madiun,2026-02-21 23:00:00,9.42,10.51,284.13,1.48,53.43
Madiun,2026-02-22 00:00:00,9.9,10.9,297.48,1.65,52.97
Madiun,2026-02-22 01:00:00,9.63,10.53,301.85,1.72,52.09
Madiun,2026-02-22 02:00:00,8.69,9.52,294.57,1.67,50.49
Madiun,2026-02-22 03:00:00,7.42,8.2,281.15,1.54,48.76
Madiun,2026-02-22 04:00:00,6.07,6.81,263.19,1.33,47.04
Madiun,2026-02-22 05:00:00,4.99,5.73,244.97,1.11,45.44
Madiun,2026-02-22 06:00:00,4.47,5.25,233.7,0.98,43.89
Madiun,2026-02-22 07:00:00,4.51,5.37,233.08,1.02,42.27
Madiun,2026-02-22 08:00:00,4.62,5.54,235.98,1.14,41.04
Madiun,2026-02-22 09:00:00,4.43,5.37,230.6,1.12,39.91
Madiun,2026-02-22 10:00:00,3.99,4.94,215.06,0.91,38.67
Madiun,2026-02-22 11:00:00,3.44,4.32,194.52,0.62,37.33
Madiun,2026-02-22 12:00:00,2.8,3.57,173.98,0.37,35.62
Madiun,2026-02-22 13:00:00,2.05,2.76,154.27,0.21,33.37
Madiun,2026-02-22 14:00:00,1.42,2.13,138.51,0.12,30.86
Madiun,2026-02-22 15:00:00,1.03,1.77,128.59,0.11,28.66
Madiun,2026-02-22 16:00:00,0.84,1.59,123.17,0.11,27.19
Madiun,2026-02-22 17:00:00,0.71,1.38,122.03,0.12,26.56
Madiun,2026-02-22 18:00:00,0.62,1.23,124.27,0.13,26.52
Madiun,2026-02-22 19:00:00,0.59,1.16,129.17,0.15,26.82
Madiun,2026-02-22 20:00:00,0.6,1.17,134.77,0.17,27.27
Madiun,2026-02-22 21:00:00,0.62,1.19,139.56,0.2,27.89
Madiun,2026-02-22 22:00:00,0.65,1.19,143.76,0.21,28.68
Madiun,2026-02-22 23:00:00,0.68,1.18,147.59,0.23,29.48
Madiun,2026-02-23 00:00:00,0.72,1.24,151.75,0.25,30.2
Madiun,2026-02-23 01:00:00,0.78,1.38,155.09,0.28,30.63
Madiun,2026-02-23 02:00:00,0.92,1.57,159.81,0.34,30.71
Madiun,2026-02-23 03:00:00,1.09,1.76,166.56,0.45,30.59
Madiun,2026-02-23 04:00:00,1.25,1.94,172.72,0.56,30.23
Madiun,2026-02-23 05:00:00,1.39,2.11,177.44,0.66,29.8
Madiun,2026-02-23 06:00:00,1.61,2.4,183.24,0.79,29.38
Madiun,2026-02-23 07:00:00,1.99,2.89,192.63,1.01,29.45
Madiun,2026-02-23 08:00:00,2.5,3.51,204.72,1.31,30.51
Madiun,2026-02-23 09:00:00,3.27,4.41,221.98,1.62,33.02
Madiun,2026-02-23 10:00:00,4.24,5.48,242.2,1.8,37.4
Madiun,2026-02-23 11:00:00,5.3,6.58,261.56,1.76,42.67
Madiun,2026-02-23 12:00:00,6.18,7.45,276.85,1.65,45.87
Madiun,2026-02-23 13:00:00,6.85,8.05,288.0,1.54,47.21
Madiun,2026-02-23 14:00:00,5.93,7.12,264.45,1.1,45.63
Madiun,2026-02-23 15:00:00,4.5,5.76,224.96,0.73,41.9
Madiun,2026-02-23 16:00:00,3.79,5.1,200.57,0.54,39.88
Madiun,2026-02-23 17:00:00,3.38,4.64,186.4,0.45,38.64
Madiun,2026-02-23 18:00:00,3.19,4.49,178.35,0.41,37.54
Madiun,2026-02-23 19:00:00,2.87,4.26,170.33,0.37,36.05
Madiun,2026-02-23 20:00:00,2.4,3.85,160.76,0.31,34.17
Madiun,2026-02-23 21:00:00,2.04,3.61,151.7,0.24,32.8
Jember,2026-02-16 22:00:00,7.17,9.29,256.8,0.47,56.58
Jember,2026-02-16 23:00:00,8.1,10.16,271.01,0.54,56.32
Jember,2026-02-17 00:00:00,9.55,11.59,295.84,0.66,57.08
Jember,2026-02-17 01:00:00,11.34,13.42,331.53,0.84,58.87
Jember,2026-02-17 02:00:00,12.77,14.9,374.87,1.05,60.35
Jember,2026-02-17 03:00:00,13.36,15.46,410.27,1.27,59.8
Jember,2026-02-17 04:00:00,12.96,14.94,430.24,1.44,57.73
Jember,2026-02-17 05:00:00,11.91,13.6,438.1,1.56,55.25
Jember,2026-02-17 06:00:00,10.87,12.41,444.38,1.69,52.7
Jember,2026-02-17 07:00:00,10.18,11.67,451.61,1.89,50.22
Jember,2026-02-17 08:00:00,10.24,11.93,458.86,2.19,47.82
Jember,2026-02-17 09:00:00,10.2,12.07,453.92,2.37,46.25
Jember,2026-02-17 10:00:00,9.83,11.68,433.58,2.28,46.28
Jember,2026-02-17 11:00:00,9.93,11.95,407.74,1.85,49.01
Jember,2026-02-17 12:00:00,10.53,12.89,378.26,1.34,52.47
Jember,2026-02-17 13:00:00,11.1,13.77,344.4,0.88,55.18
Jember,2026-02-17 14:00:00,10.67,13.55,305.88,0.65,55.22
Jember,2026-02-17 15:00:00,9.28,12.02,271.77,0.57,52.68
Jember,2026-02-17 16:00:00,8.23,10.73,250.02,0.54,51.01
Jember,2026-02-17 17:00:00,7.6,9.44,242.13,0.57,50.91
Jember,2026-02-17 18:00:00,7.73,9.2,247.86,0.63,51.64
Jember,2026-02-17 19:00:00,8.81,10.09,268.9,0.71,53.94
Jember,2026-02-17 20:00:00,10.91,12.23,303.41,0.86,56.81
Jember,2026-02-17 21:00:00,13.83,15.36,351.11,1.12,59.27
Jember,2026-02-17 22:00:00,17.43,19.16,416.64,1.58,60.83
Jember,2026-02-17 23:00:00,21.52,23.56,498.36,2.32,60.9
Jember,2026-02-18 00:00:00,25.27,27.82,582.18,3.27,58.85
Jember,2026-02-18 01:00:00,27.91,31.04,650.25,4.23,55.09
Jember,2026-02-18 02:00:00,28.18,30.97,672.79,4.76,52.18
Jember,2026-02-18 03:00:00,27.93,30.22,667.81,4.91,51.21
Jember,2026-02-18 04:00:00,27.16,29.13,640.19,4.74,51.73
Jember,2026-02-18 05:00:00,25.42,27.11,601.45,4.51,51.92
Jember,2026-02-18 06:00:00,23.42,24.97,566.04,4.37,50.97
Jember,2026-02-18 07:00:00,21.59,23.08,535.94,4.35,49.28
Jember,2026-02-18 08:00:00,20.67,22.25,514.36,4.4,48.29
Jember,2026-02-18 09:00:00,20.4,22.15,497.62,4.2,49.49
Jember,2026-02-18 10:00:00,19.99,21.79,472.93,3.65,52.61
Jember,2026-02-18 11:00:00,18.62,20.51,436.46,2.85,56.16
Jember,2026-02-18 12:00:00,17.45,19.43,406.93,2.25,57.82
Jember,2026-02-18 13:00:00,16.7,18.65,386.55,1.91,58.37
Jember,2026-02-18 14:00:00,16.59,18.43,376.46,1.79,58.92
Jember,2026-02-18 15:00:00,18.45,20.32,391.22,1.95,61.11
Jember,2026-02-18 16:00:00,21.68,23.62,426.62,2.35,64.95
Jember,2026-02-18 17:00:00,24.68,26.57,469.34,2.95,68.79
Jember,2026-02-18 18:00:00,26.0,28.0,502.01,3.39,69.63
Jember,2026-02-18 19:00:00,25.99,28.13,521.03,3.5,68.66
Jember,2026-02-18 20:00:00,25.06,27.36,528.74,3.48,66.94
Jember,2026-02-18 21:00:00,23.67,26.14,530.75,3.43,64.67
Jember,2026-02-18 22:00:00,21.94,24.54,526.46,3.36,62.33
Jember,2026-02-18 23:00:00,20.12,22.89,517.16,3.29,60.36
Jember,2026-02-19 00:00:00,18.61,21.58,507.04,3.23,58.9
Jember,2026-02-19 01:00:00,17.37,20.5,494.37,3.12,57.89
Jember,2026-02-19 02:00:00,16.18,19.38,472.47,2.86,57.87
Jember,2026-02-19 03:00:00,15.45,18.9,455.8,2.7,57.21
Jember,2026-02-19 04:00:00,14.88,18.59,443.2,2.6,56.3
Jember,2026-02-19 05:00:00,14.3,18.05,428.61,2.45,55.7
Jember,2026-02-19 06:00:00,13.79,17.47,417.39,2.35,54.96
Jember,2026-02-19 07:00:00,13.41,16.99,408.27,2.45,54.5
Jember,2026-02-19 08:00:00,13.37,16.94,402.69,2.54,55.02
Jember,2026-02-19 09:00:00,14.19,17.87,400.3,2.34,59.3
Jember,2026-02-19 10:00:00,16.78,20.53,394.76,1.68,68.86
Jember,2026-02-19 11:00:00,22.76,26.56,386.43,0.94,82.23
Jember,2026-02-19 12:00:00,29.43,33.25,380.79,0.68,91.12
Jember,2026-02-19 13:00:00,35.06,38.85,376.8,0.58,96.77
Jember,2026-02-19 14:00:00,38.99,42.71,373.88,0.53,100.8
Jember,2026-02-19 15:00:00,41.07,44.72,371.1,0.53,102.84
Jember,2026-02-19 16:00:00,41.69,45.22,368.56,0.58,103.82
Jember,2026-02-19 17:00:00,40.69,43.98,366.28,0.71,102.91
Jember,2026-02-19 18:00:00,38.66,41.73,362.97,0.77,100.38
Jember,2026-02-19 19:00:00,36.24,39.06,359.67,0.71,97.96
Jember,2026-02-19 20:00:00,33.92,36.51,357.43,0.66,95.79
Jember,2026-02-19 21:00:00,32.31,34.74,358.35,0.65,94.2
Jember,2026-02-19 22:00:00,31.2,33.51,361.94,0.66,92.85
Jember,2026-02-19 23:00:00,30.17,32.34,363.59,0.65,91.36
Jember,2026-02-20 00:00:00,29.54,31.63,365.5,0.66,89.99
Jember,2026-02-20 01:00:00,28.87,30.96,366.59,0.66,89.0
Jember,2026-02-20 02:00:00,27.69,29.77,367.04,0.67,88.3
Jember,2026-02-20 03:00:00,26.41,28.47,366.63,0.67,87.77
Jember,2026-02-20 04:00:00,25.29,27.32,367.26,0.68,88.03
Jember,2026-02-20 05:00:00,24.52,26.28,371.7,0.74,88.59
Jember,2026-02-20 06:00:00,25.38,26.99,385.35,0.88,89.26
Jember,2026-02-20 07:00:00,26.52,28.19,403.39,1.09,90.18
Jember,2026-02-20 08:00:00,26.77,28.85,459.64,2.29,77.05
Jember,2026-02-20 09:00:00,27.54,30.03,477.79,2.73,75.57
Jember,2026-02-20 10:00:00,28.61,31.34,488.98,2.88,76.03
Jember,2026-02-20 11:00:00,32.61,35.69,503.16,2.28,83.96
Jember,2026-02-20 12:00:00,40.21,43.88,520.12,1.68,95.53
Jember,2026-02-20 13:00:00,49.29,53.49,536.01,1.23,106.73
Jember,2026-02-20 14:00:00,57.71,62.16,549.32,1.14,114.87
Jember,2026-02-20 15:00:00,61.08,65.45,554.26,1.26,116.35
Jember,2026-02-20 16:00:00,59.57,63.45,548.03,1.36,113.72
Jember,2026-02-20 17:00:00,51.01,53.38,517.25,1.31,106.2
Jember,2026-02-20 18:00:00,43.27,45.08,499.68,1.3,99.32
Jember,2026-02-20 19:00:00,36.88,38.49,491.04,1.4,93.79
Jember,2026-02-20 20:00:00,31.81,33.22,486.49,1.62,89.35
Jember,2026-02-20 21:00:00,28.96,30.28,486.16,1.81,87.44
Jember,2026-02-20 22:00:00,27.98,29.27,489.22,1.89,88.38
Jember,2026-02-20 23:00:00,27.97,29.2,496.72,1.86,91.65
Jember,2026-02-21 00:00:00,27.52,28.75,503.53,1.81,92.9
Jember,2026-02-21 01:00:00,25.91,27.2,497.81,1.77,89.54
Jember,2026-02-21 02:00:00,22.91,24.49,476.19,1.77,81.65
Jember,2026-02-21 03:00:00,20.68,22.65,449.02,1.84,72.06
Jember,2026-02-21 04:00:00,17.89,20.15,419.43,1.89,64.54
Jember,2026-02-21 05:00:00,15.19,17.92,394.27,1.84,60.79
Jember,2026-02-21 06:00:00,12.53,15.67,366.18,1.74,58.91
Jember,2026-02-21 07:00:00,10.57,13.99,343.71,1.78,57.37
Jember,2026-02-21 08:00:00,9.4,12.99,328.98,1.9,55.99
Jember,2026-02-21 09:00:00,8.84,12.32,313.52,1.86,55.61
Jember,2026-02-21 10:00:00,8.76,12.02,294.4,1.6,56.33
Jember,2026-02-21 11:00:00,8.96,11.52,273.86,1.23,57.7
Jember,2026-02-21 12:00:00,8.91,11.0,252.99,0.89,58.08
Jember,2026-02-21 13:00:00,8.57,10.38,235.38,0.67,57.0
Jember,2026-02-21 14:00:00,7.98,9.9,221.06,0.56,54.64
Jember,2026-02-21 15:00:00,7.5,9.72,212.48,0.52,52.26
Jember,2026-02-21 16:00:00,6.89,9.27,207.2,0.5,50.04
Jember,2026-02-21 17:00:00,5.92,8.18,201.38,0.48,47.98
Jember,2026-02-21 18:00:00,4.91,7.1,195.37,0.43,46.16
Jember,2026-02-21 19:00:00,4.17,6.33,192.55,0.37,45.17
Jember,2026-02-21 20:00:00,3.81,5.63,196.71,0.37,45.06
Jember,2026-02-21 21:00:00,3.84,5.4,205.59,0.41,45.54
Jember,2026-02-21 22:00:00,4.2,5.59,215.29,0.48,46.27
Jember,2026-02-21 23:00:00,4.63,5.97,221.97,0.54,46.76
Jember,2026-02-22 00:00:00,4.83,6.24,224.86,0.59,46.78
Jember,2026-02-22 01:00:00,4.76,6.24,224.19,0.62,46.38
Jember,2026-02-22 02:00:00,4.63,6.15,223.37,0.63,46.01
Jember,2026-02-22 03:00:00,4.89,6.59,227.92,0.68,45.89
Jember,2026-02-22 04:00:00,5.47,7.42,236.04,0.75,46.04
Jember,2026-02-22 05:00:00,5.92,7.91,242.92,0.76,46.34
Jember,2026-02-22 06:00:00,6.12,7.88,247.93,0.77,46.37
Jember,2026-02-22 07:00:00,6.07,7.54,253.29,0.79,46.29
Jember,2026-02-22 08:00:00,5.73,7.09,255.26,0.82,46.0
Jember,2026-02-22 09:00:00,4.98,6.31,246.56,0.76,45.42
Jember,2026-02-22 10:00:00,4.12,5.38,226.86,0.63,44.04
Jember,2026-02-22 11:00:00,3.2,4.38,201.63,0.48,41.98
Jember,2026-02-22 12:00:00,2.45,3.75,177.49,0.36,39.06
Jember,2026-02-22 13:00:00,1.88,3.33,156.11,0.25,35.9
Jember,2026-02-22 14:00:00,1.51,3.11,138.61,0.17,32.67
Jember,2026-02-22 15:00:00,1.3,2.93,126.18,0.12,29.82
Jember,2026-02-22 16:00:00,1.16,2.69,117.37,0.1,27.51
Jember,2026-02-22 17:00:00,1.0,2.29,110.41,0.09,25.77
Jember,2026-02-22 18:00:00,0.87,1.98,105.5,0.09,24.59
Jember,2026-02-22 19:00:00,0.76,1.74,102.01,0.08,23.79
Jember,2026-02-22 20:00:00,0.7,1.64,99.08,0.08,23.19
Jember,2026-02-22 21:00:00,0.69,1.69,96.59,0.08,22.75
Jember,2026-02-22 22:00:00,0.68,1.73,94.73,0.08,22.47
Jember,2026-02-22 23:00:00,0.69,1.83,94.29,0.07,22.36
Jember,2026-02-23 00:00:00,0.69,1.93,94.93,0.07,22.38
Jember,2026-02-23 01:00:00,0.71,2.03,96.41,0.07,22.48
Jember,2026-02-23 02:00:00,0.76,2.12,98.95,0.07,22.67
Jember,2026-02-23 03:00:00,0.85,2.44,102.24,0.07,22.92
Jember,2026-02-23 04:00:00,0.95,2.78,106.74,0.07,23.43
Jember,2026-02-23 05:00:00,0.98,2.84,111.11,0.07,24.12
Jember,2026-02-23 06:00:00,0.92,2.54,115.04,0.07,24.92
Jember,2026-02-23 07:00:00,0.84,2.19,118.16,0.07,25.65
Jember,2026-02-23 08:00:00,0.83,2.19,119.82,0.08,26.1
Jember,2026-02-23 09:00:00,0.9,2.51,122.7,0.09,26.53
Jember,2026-02-23 10:00:00,1.0,2.88,127.72,0.11,26.96
Jember,2026-02-23 11:00:00,1.07,2.83,136.56,0.15,27.85
Jember,2026-02-23 12:00:00,1.16,2.77,146.14,0.19,28.99
Jember,2026-02-23 13:00:00,1.39,3.0,155.21,0.22,30.71
Jember,2026-02-23 14:00:00,1.84,3.55,164.98,0.27,33.56
Jember,2026-02-23 15:00:00,2.53,4.36,176.4,0.34,37.41
Jember,2026-02-23 16:00:00,3.05,4.97,185.89,0.4,40.26
Jember,2026-02-23 17:00:00,3.09,5.05,189.33,0.41,40.62
Jember,2026-02-23 18:00:00,2.86,4.79,187.0,0.38,38.98
Jember,2026-02-23 19:00:00,2.6,4.47,181.22,0.34,36.41
Jember,2026-02-23 20:00:00,2.37,4.23,173.32,0.3,33.59
Jember,2026-02-23 21:00:00,2.18,4.18,164.05,0.26,31.06
Banyuwangi,2026-02-16 22:00:00,5.57,7.68,234.6,0.41,54.08
Banyuwangi,2026-02-16 23:00:00,6.03,7.97,248.6,0.46,54.87
Banyuwangi,2026-02-17 00:00:00,6.64,8.55,261.95,0.5,55.78
Banyuwangi,2026-02-17 01:00:00,7.47,9.49,275.66,0.53,57.07
Banyuwangi,2026-02-17 02:00:00,8.81,10.91,298.97,0.57,59.15
Banyuwangi,2026-02-17 03:00:00,10.83,12.88,338.55,0.71,61.85
Banyuwangi,2026-02-17 04:00:00,13.23,15.18,390.31,0.91,64.19
Banyuwangi,2026-02-17 05:00:00,15.48,17.31,445.23,1.2,65.0
Banyuwangi,2026-02-17 06:00:00,17.39,19.16,501.96,1.52,64.39
Banyuwangi,2026-02-17 07:00:00,18.76,20.51,553.62,1.9,62.58
Banyuwangi,2026-02-17 08:00:00,19.81,21.79,590.62,2.32,60.11
