Kota,Waktu,PM2.5 (µg/m³),PM10 (µg/m³),CO (µg/m³),NO2 (µg/m³),Ozon (µg/m³)
Banyuwangi,2026-02-17 09:00:00,20.1,22.34,605.84,2.62,57.47
Banyuwangi,2026-02-17 10:00:00,19.47,21.76,595.81,2.72,55.86
Banyuwangi,2026-02-17 11:00:00,17.72,19.9,558.26,2.49,57.44
Banyuwangi,2026-02-17 12:00:00,17.4,19.85,518.88,2.14,60.66
Banyuwangi,2026-02-17 13:00:00,17.91,20.65,483.53,1.74,63.75
Banyuwangi,2026-02-17 14:00:00,17.73,20.64,445.46,1.47,64.84
Banyuwangi,2026-02-17 15:00:00,16.35,19.14,410.23,1.4,62.91
Banyuwangi,2026-02-17 16:00:00,14.93,17.43,383.86,1.4,60.75
Banyuwangi,2026-02-17 17:00:00,13.55,15.48,363.62,1.41,59.1
Banyuwangi,2026-02-17 18:00:00,12.71,14.32,349.74,1.37,57.36
Banyuwangi,2026-02-17 19:00:00,12.26,13.62,341.77,1.25,56.53
Banyuwangi,2026-02-17 20:00:00,12.3,13.53,344.11,1.17,56.7
Banyuwangi,2026-02-17 21:00:00,13.25,14.48,364.93,1.26,58.05
Banyuwangi,2026-02-17 22:00:00,15.09,16.37,405.03,1.52,60.25
Banyuwangi,2026-02-17 23:00:00,17.74,19.2,461.95,1.99,62.2
Banyuwangi,2026-02-18 00:00:00,20.78,22.53,523.45,2.52,62.78
Banyuwangi,2026-02-18 01:00:00,23.53,25.64,577.63,3.05,62.01
Banyuwangi,2026-02-18 02:00:00,25.89,28.2,627.21,3.6,60.18
Banyuwangi,2026-02-18 03:00:00,27.59,29.84,666.92,4.18,57.26
Banyuwangi,2026-02-18 04:00:00,28.42,30.5,686.36,4.67,53.75
Banyuwangi,2026-02-18 05:00:00,27.78,29.52,681.38,5.0,50.22
Banyuwangi,2026-02-18 06:00:00,27.14,28.74,673.4,5.36,46.63
Banyuwangi,2026-02-18 07:00:00,26.25,27.87,650.42,5.8,43.7
Banyuwangi,2026-02-18 08:00:00,25.13,26.95,613.23,6.09,42.5
Banyuwangi,2026-02-18 09:00:00,24.21,26.24,578.82,6.01,43.94
Banyuwangi,2026-02-18 10:00:00,23.76,25.84,547.06,5.49,48.46
Banyuwangi,2026-02-18 11:00:00,24.43,26.68,523.8,4.54,56.87
Banyuwangi,2026-02-18 12:00:00,25.5,28.12,505.75,3.61,63.66
Banyuwangi,2026-02-18 13:00:00,25.18,27.89,476.96,2.68,66.95
Banyuwangi,2026-02-18 14:00:00,21.84,24.34,427.06,2.04,64.82
Banyuwangi,2026-02-18 15:00:00,18.53,21.12,388.38,1.69,61.16
Banyuwangi,2026-02-18 16:00:00,17.18,19.8,374.31,1.65,59.94
Banyuwangi,2026-02-18 17:00:00,17.61,19.76,386.15,1.93,61.0
Banyuwangi,2026-02-18 18:00:00,19.37,21.01,415.65,2.26,63.49
Banyuwangi,2026-02-18 19:00:00,22.17,23.52,456.5,2.58,66.82
Banyuwangi,2026-02-18 20:00:00,24.98,26.54,495.61,2.86,69.12
Banyuwangi,2026-02-18 21:00:00,26.68,28.83,522.21,3.06,68.83
Banyuwangi,2026-02-18 22:00:00,27.21,29.89,541.57,3.23,66.96
Banyuwangi,2026-02-18 23:00:00,26.63,29.75,552.2,3.37,64.02
Banyuwangi,2026-02-19 00:00:00,25.39,28.75,555.05,3.47,60.64
Banyuwangi,2026-02-19 01:00:00,23.89,27.3,552.99,3.51,57.52
Banyuwangi,2026-02-19 02:00:00,22.3,25.55,545.68,3.53,54.89
Banyuwangi,2026-02-19 03:00:00,20.91,24.25,533.11,3.53,52.59
Banyuwangi,2026-02-19 04:00:00,19.85,23.26,517.85,3.51,50.87
Banyuwangi,2026-02-19 05:00:00,18.09,21.21,488.55,3.31,50.69
Banyuwangi,2026-02-19 06:00:00,16.68,19.54,464.55,3.16,50.51
Banyuwangi,2026-02-19 07:00:00,16.51,19.32,452.92,3.29,50.03
Banyuwangi,2026-02-19 08:00:00,16.67,19.49,442.19,3.31,51.49
Banyuwangi,2026-02-19 09:00:00,17.04,19.88,429.71,3.0,56.4
Banyuwangi,2026-02-19 10:00:00,18.43,21.29,415.71,2.3,65.15
Banyuwangi,2026-02-19 11:00:00,22.76,25.77,405.01,1.46,77.02
Banyuwangi,2026-02-19 12:00:00,28.53,31.77,399.6,1.07,86.0
Banyuwangi,2026-02-19 13:00:00,33.84,37.23,396.76,0.88,92.21
Banyuwangi,2026-02-19 14:00:00,38.18,41.69,394.78,0.78,97.74
Banyuwangi,2026-02-19 15:00:00,41.06,44.67,392.74,0.77,101.94
Banyuwangi,2026-02-19 16:00:00,42.43,46.12,389.53,0.81,104.18
Banyuwangi,2026-02-19 17:00:00,42.65,46.4,387.05,0.91,104.72
Banyuwangi,2026-02-19 18:00:00,42.41,46.13,384.27,0.92,103.91
Banyuwangi,2026-02-19 19:00:00,42.19,45.8,382.42,0.79,103.19
Banyuwangi,2026-02-19 20:00:00,41.63,45.07,380.67,0.7,101.73
Banyuwangi,2026-02-19 21:00:00,40.97,44.35,379.5,0.67,100.34
Banyuwangi,2026-02-19 22:00:00,40.26,43.58,379.38,0.66,99.29
Banyuwangi,2026-02-19 23:00:00,38.6,41.76,375.4,0.63,97.49
Banyuwangi,2026-02-20 00:00:00,37.05,40.06,370.7,0.61,96.0
Banyuwangi,2026-02-20 01:00:00,35.84,38.73,367.3,0.59,94.84
Banyuwangi,2026-02-20 02:00:00,34.31,37.08,363.74,0.57,93.63
Banyuwangi,2026-02-20 03:00:00,32.49,35.17,359.56,0.54,92.23
Banyuwangi,2026-02-20 04:00:00,30.55,33.15,355.5,0.51,90.79
Banyuwangi,2026-02-20 05:00:00,28.02,30.27,350.88,0.49,89.06
Banyuwangi,2026-02-20 06:00:00,24.99,26.82,348.03,0.51,87.0
Banyuwangi,2026-02-20 07:00:00,22.54,24.1,348.08,0.6,85.43
Banyuwangi,2026-02-20 08:00:00,22.65,24.6,367.6,0.93,85.17
Banyuwangi,2026-02-20 09:00:00,23.79,26.26,384.54,1.2,84.78
Banyuwangi,2026-02-20 10:00:00,24.82,27.52,396.29,1.29,85.37
Banyuwangi,2026-02-20 11:00:00,26.93,29.67,409.06,1.05,89.08
Banyuwangi,2026-02-20 12:00:00,30.45,33.49,421.01,0.85,93.74
Banyuwangi,2026-02-20 13:00:00,34.94,38.32,432.37,0.71,98.91
Banyuwangi,2026-02-20 14:00:00,40.06,43.66,447.11,0.74,103.69
Banyuwangi,2026-02-20 15:00:00,44.9,48.61,463.27,0.8,107.22
Banyuwangi,2026-02-20 16:00:00,48.11,51.85,474.76,0.87,108.81
Banyuwangi,2026-02-20 17:00:00,46.55,49.62,474.6,0.91,106.83
Banyuwangi,2026-02-20 18:00:00,43.3,45.84,471.42,0.92,102.31
Banyuwangi,2026-02-20 19:00:00,39.82,42.12,471.72,0.93,97.41
Banyuwangi,2026-02-20 20:00:00,36.11,38.21,474.56,1.0,92.72
Banyuwangi,2026-02-20 21:00:00,33.09,35.1,479.71,1.06,89.5
Banyuwangi,2026-02-20 22:00:00,30.76,32.83,481.95,1.12,87.75
Banyuwangi,2026-02-20 23:00:00,28.93,30.98,479.88,1.16,88.02
Banyuwangi,2026-02-21 00:00:00,27.61,29.57,481.46,1.19,91.19
Banyuwangi,2026-02-21 01:00:00,25.98,27.91,481.17,1.2,94.09
Banyuwangi,2026-02-21 02:00:00,23.18,25.35,473.93,1.19,93.52
Banyuwangi,2026-02-21 03:00:00,21.09,23.74,459.53,1.22,88.39
Banyuwangi,2026-02-21 04:00:00,18.91,21.95,435.34,1.28,79.54
Banyuwangi,2026-02-21 05:00:00,15.38,18.99,395.26,1.28,69.93
Banyuwangi,2026-02-21 06:00:00,12.2,16.36,353.04,1.25,62.07
Banyuwangi,2026-02-21 07:00:00,10.15,14.71,323.82,1.28,57.24
Banyuwangi,2026-02-21 08:00:00,9.15,14.21,307.2,1.4,54.45
Banyuwangi,2026-02-21 09:00:00,8.59,13.66,294.32,1.44,53.09
Banyuwangi,2026-02-21 10:00:00,7.88,12.56,274.46,1.28,52.51
Banyuwangi,2026-02-21 11:00:00,7.32,10.84,254.64,1.07,52.42
Banyuwangi,2026-02-21 12:00:00,6.64,9.46,232.82,0.83,51.22
Banyuwangi,2026-02-21 13:00:00,5.88,8.41,211.23,0.6,48.86
Banyuwangi,2026-02-21 14:00:00,4.95,7.62,189.41,0.41,45.38
Banyuwangi,2026-02-21 15:00:00,4.36,7.22,174.85,0.31,42.11
Banyuwangi,2026-02-21 16:00:00,4.05,7.0,166.59,0.27,39.79
Banyuwangi,2026-02-21 17:00:00,3.74,6.6,162.05,0.26,38.48
Banyuwangi,2026-02-21 18:00:00,3.5,6.23,161.28,0.25,37.98
Banyuwangi,2026-02-21 19:00:00,3.33,5.95,163.42,0.25,38.16
Banyuwangi,2026-02-21 20:00:00,3.15,5.3,166.77,0.24,38.56
Banyuwangi,2026-02-21 21:00:00,2.95,4.8,169.95,0.24,38.71
Banyuwangi,2026-02-21 22:00:00,2.8,4.46,174.08,0.25,38.76
Banyuwangi,2026-02-21 23:00:00,2.89,4.63,178.55,0.28,38.76
Banyuwangi,2026-02-22 00:00:00,3.16,5.2,183.0,0.3,39.1
Banyuwangi,2026-02-22 01:00:00,3.38,5.72,185.51,0.32,39.36
Banyuwangi,2026-02-22 02:00:00,3.46,5.91,186.7,0.33,39.55
Banyuwangi,2026-02-22 03:00:00,3.6,6.24,189.15,0.36,39.61
Banyuwangi,2026-02-22 04:00:00,3.9,6.84,193.81,0.41,39.88
Banyuwangi,2026-02-22 05:00:00,4.14,7.06,199.47,0.45,40.35
Banyuwangi,2026-02-22 06:00:00,4.22,6.78,204.02,0.47,40.73
Banyuwangi,2026-02-22 07:00:00,4.19,6.32,207.52,0.5,41.14
Banyuwangi,2026-02-22 08:00:00,3.8,5.52,206.86,0.5,41.5
Banyuwangi,2026-02-22 09:00:00,3.31,4.89,201.2,0.46,41.17
Banyuwangi,2026-02-22 10:00:00,2.98,4.47,191.23,0.4,39.78
Banyuwangi,2026-02-22 11:00:00,2.75,4.21,177.68,0.31,38.0
Banyuwangi,2026-02-22 12:00:00,2.43,3.95,162.72,0.24,35.59
Banyuwangi,2026-02-22 13:00:00,2.0,3.58,146.78,0.19,32.93
Banyuwangi,2026-02-22 14:00:00,1.62,3.38,131.78,0.14,30.35
Banyuwangi,2026-02-22 15:00:00,1.39,3.33,119.33,0.12,28.19
Banyuwangi,2026-02-22 16:00:00,1.25,3.26,109.51,0.1,26.53
Banyuwangi,2026-02-22 17:00:00,1.14,2.99,101.95,0.09,25.34
Banyuwangi,2026-02-22 18:00:00,1.0,2.59,97.24,0.09,24.64
Banyuwangi,2026-02-22 19:00:00,0.88,2.22,94.44,0.09,24.19
Banyuwangi,2026-02-22 20:00:00,0.81,2.04,92.54,0.09,23.83
Banyuwangi,2026-02-22 21:00:00,0.83,2.18,90.18,0.09,23.42
Banyuwangi,2026-02-22 22:00:00,0.87,2.33,87.91,0.08,22.99
Banyuwangi,2026-02-22 23:00:00,0.9,2.48,86.19,0.08,22.62
Banyuwangi,2026-02-23 00:00:00,0.95,2.76,85.07,0.08,22.41
Banyuwangi,2026-02-23 01:00:00,1.01,3.08,84.47,0.07,22.38
Banyuwangi,2026-02-23 02:00:00,1.0,2.96,84.63,0.07,22.5
Banyuwangi,2026-02-23 03:00:00,0.96,2.74,85.14,0.07,22.52
Banyuwangi,2026-02-23 04:00:00,0.96,2.66,86.17,0.07,22.45
Banyuwangi,2026-02-23 05:00:00,0.97,2.62,87.41,0.07,22.43
Banyuwangi,2026-02-23 06:00:00,0.96,2.53,89.4,0.07,22.68
Banyuwangi,2026-02-23 07:00:00,0.93,2.37,91.51,0.07,23.13
Banyuwangi,2026-02-23 08:00:00,0.94,2.38,92.97,0.07,23.69
Banyuwangi,2026-02-23 09:00:00,1.04,2.74,94.16,0.07,24.27
Banyuwangi,2026-02-23 10:00:00,1.17,3.25,96.28,0.06,24.71
Banyuwangi,2026-02-23 11:00:00,1.28,3.61,101.45,0.06,25.0
Banyuwangi,2026-02-23 12:00:00,1.34,3.8,109.71,0.07,25.24
Banyuwangi,2026-02-23 13:00:00,1.41,3.99,119.41,0.08,25.68
Banyuwangi,2026-02-23 14:00:00,1.48,4.22,129.25,0.1,26.37
Banyuwangi,2026-02-23 15:00:00,1.6,4.38,138.61,0.12,27.72
Banyuwangi,2026-02-23 16:00:00,1.8,4.54,147.32,0.15,29.86
Banyuwangi,2026-02-23 17:00:00,1.97,4.49,155.82,0.19,32.2
Banyuwangi,2026-02-23 18:00:00,2.08,4.38,162.84,0.21,33.93
Banyuwangi,2026-02-23 19:00:00,2.11,4.21,166.12,0.2,34.29
Banyuwangi,2026-02-23 20:00:00,2.07,4.12,163.39,0.19,33.09
Banyuwangi,2026-02-23 21:00:00,2.05,4.22,156.23,0.17,30.92
Gresik,2026-02-16 22:00:00,34.24,38.05,792.05,9.0,57.0
Gresik,2026-02-16 23:00:00,29.67,33.26,757.7,8.86,51.47
Gresik,2026-02-17 00:00:00,25.9,29.26,732.28,8.76,47.32
Gresik,2026-02-17 01:00:00,23.34,26.4,702.67,8.54,44.01
Gresik,2026-02-17 02:00:00,22.46,25.33,690.07,8.38,41.56
Gresik,2026-02-17 03:00:00,23.53,26.38,700.83,8.53,39.2
Gresik,2026-02-17 04:00:00,24.72,27.59,711.59,8.71,37.14
Gresik,2026-02-17 05:00:00,25.73,28.74,716.72,8.99,35.01
Gresik,2026-02-17 06:00:00,26.66,29.99,721.83,9.39,33.09
Gresik,2026-02-17 07:00:00,27.79,31.92,738.2,10.17,31.59
Gresik,2026-02-17 08:00:00,29.42,34.74,776.73,11.44,31.22
Gresik,2026-02-17 09:00:00,31.99,38.54,829.46,12.58,33.58
Gresik,2026-02-17 10:00:00,35.87,43.39,877.03,12.62,42.53
Gresik,2026-02-17 11:00:00,38.53,46.22,902.24,12.83,53.57
Gresik,2026-02-17 12:00:00,35.7,43.24,879.47,12.75,53.7
Gresik,2026-02-17 13:00:00,33.14,40.52,867.18,12.76,51.43
Gresik,2026-02-17 14:00:00,31.83,38.8,861.96,12.86,50.1
Gresik,2026-02-17 15:00:00,31.53,38.18,870.79,13.28,47.47
Gresik,2026-02-17 16:00:00,30.78,36.62,864.25,13.51,44.46
Gresik,2026-02-17 17:00:00,27.12,30.75,755.72,12.37,43.07
Gresik,2026-02-17 18:00:00,26.59,30.16,774.19,14.34,37.68
Gresik,2026-02-17 19:00:00,26.38,30.12,786.37,15.61,33.23
Gresik,2026-02-17 20:00:00,27.17,31.7,789.53,16.16,32.19
Gresik,2026-02-17 21:00:00,28.82,34.73,801.89,16.26,32.51
Gresik,2026-02-17 22:00:00,29.47,36.43,797.42,15.51,33.55
Gresik,2026-02-17 23:00:00,29.05,36.32,770.84,14.26,34.72
Gresik,2026-02-18 00:00:00,28.28,35.04,734.81,12.88,35.61
Gresik,2026-02-18 01:00:00,28.05,34.08,703.01,11.65,36.01
Gresik,2026-02-18 02:00:00,26.51,31.03,642.77,9.85,37.63
Gresik,2026-02-18 03:00:00,26.28,29.89,611.59,8.89,37.73
Gresik,2026-02-18 04:00:00,27.11,30.39,607.76,8.63,37.04
Gresik,2026-02-18 05:00:00,28.44,31.6,604.61,8.59,35.93
Gresik,2026-02-18 06:00:00,30.05,33.23,602.83,8.72,35.2
Gresik,2026-02-18 07:00:00,30.59,34.2,608.79,9.18,36.04
Gresik,2026-02-18 08:00:00,29.21,33.39,617.86,9.74,39.16
Gresik,2026-02-18 09:00:00,26.73,31.3,616.64,10.11,42.38
Gresik,2026-02-18 10:00:00,23.62,28.29,597.26,9.84,45.58
Gresik,2026-02-18 11:00:00,18.9,22.43,548.02,8.88,49.07
Gresik,2026-02-18 12:00:00,17.69,20.65,545.19,8.79,50.25
Gresik,2026-02-18 13:00:00,17.85,20.59,559.51,9.2,50.26
Gresik,2026-02-18 14:00:00,17.46,20.13,564.85,9.65,49.39
Gresik,2026-02-18 15:00:00,16.86,19.62,573.81,10.16,48.84
Gresik,2026-02-18 16:00:00,16.15,19.04,583.84,10.76,48.32
Gresik,2026-02-18 17:00:00,15.82,18.97,596.73,11.46,48.64
Gresik,2026-02-18 18:00:00,15.15,18.59,608.57,12.72,45.28
Gresik,2026-02-18 19:00:00,14.09,17.65,593.7,12.45,42.3
Gresik,2026-02-18 20:00:00,12.44,15.98,530.85,10.74,42.98
Gresik,2026-02-18 21:00:00,12.27,16.63,521.92,10.13,41.98
Gresik,2026-02-18 22:00:00,12.27,17.42,514.05,9.54,41.01
Gresik,2026-02-18 23:00:00,12.86,18.75,523.18,9.36,39.09
Gresik,2026-02-19 00:00:00,13.94,20.29,544.04,9.51,36.59
Gresik,2026-02-19 01:00:00,14.81,21.27,552.58,9.34,34.84
Gresik,2026-02-19 02:00:00,15.82,22.37,556.05,9.13,33.29
Gresik,2026-02-19 03:00:00,17.22,23.99,564.3,9.04,31.57
Gresik,2026-02-19 04:00:00,18.58,25.52,567.63,8.88,30.03
Gresik,2026-02-19 05:00:00,19.71,26.72,568.06,8.67,28.83
Gresik,2026-02-19 06:00:00,20.52,27.46,555.03,8.42,28.25
Gresik,2026-02-19 07:00:00,21.76,29.02,543.77,8.38,28.9
Gresik,2026-02-19 08:00:00,24.84,33.72,593.16,8.91,33.28
Gresik,2026-02-19 09:00:00,31.11,42.98,711.32,10.45,45.81
Gresik,2026-02-19 10:00:00,42.02,56.59,806.63,10.91,72.1
Gresik,2026-02-19 11:00:00,45.27,59.9,807.88,10.93,88.29
Gresik,2026-02-19 12:00:00,46.69,60.9,802.8,11.19,90.59
Gresik,2026-02-19 13:00:00,46.68,60.31,802.97,11.6,90.49
Gresik,2026-02-19 14:00:00,46.01,59.09,806.82,11.92,88.99
Gresik,2026-02-19 15:00:00,45.59,58.18,820.65,12.21,86.54
Gresik,2026-02-19 16:00:00,42.54,53.64,784.48,11.45,82.97
Gresik,2026-02-19 17:00:00,27.61,32.45,480.85,5.78,75.97
Gresik,2026-02-19 18:00:00,25.33,29.52,462.76,5.71,71.39
Gresik,2026-02-19 19:00:00,24.93,29.14,476.88,6.05,67.18
Gresik,2026-02-19 20:00:00,25.61,30.55,528.6,7.39,61.07
Gresik,2026-02-19 21:00:00,27.2,33.43,605.72,9.18,54.74
Gresik,2026-02-19 22:00:00,28.16,35.46,662.96,10.31,49.74
Gresik,2026-02-19 23:00:00,29.42,37.81,722.14,11.36,45.1
Gresik,2026-02-20 00:00:00,31.72,41.05,790.61,12.49,40.81
Gresik,2026-02-20 01:00:00,34.39,44.32,848.19,13.23,37.16
Gresik,2026-02-20 02:00:00,36.81,47.04,888.28,13.58,34.53
Gresik,2026-02-20 03:00:00,39.25,49.28,912.97,13.77,32.17
Gresik,2026-02-20 04:00:00,41.07,50.35,917.59,13.78,29.61
Gresik,2026-02-20 05:00:00,40.07,48.21,893.32,13.56,27.12
Gresik,2026-02-20 06:00:00,38.32,45.51,856.75,13.31,25.17
Gresik,2026-02-20 07:00:00,36.67,43.75,822.32,12.86,24.86
Gresik,2026-02-20 08:00:00,39.47,48.2,854.61,14.23,22.59
Gresik,2026-02-20 09:00:00,38.89,47.41,842.41,14.28,31.83
Gresik,2026-02-20 10:00:00,40.77,48.58,795.15,13.14,49.4
Gresik,2026-02-20 11:00:00,37.38,43.92,679.9,11.79,58.74
Gresik,2026-02-20 12:00:00,34.23,40.92,661.06,12.05,56.35
Gresik,2026-02-20 13:00:00,33.33,40.27,674.29,12.48,57.27
Gresik,2026-02-20 14:00:00,31.5,37.84,687.91,13.41,54.31
Gresik,2026-02-20 15:00:00,28.03,33.54,691.19,14.26,45.96
Gresik,2026-02-20 16:00:00,24.3,28.99,671.3,14.57,38.83
Gresik,2026-02-20 17:00:00,21.93,26.69,689.6,15.05,30.68
Gresik,2026-02-20 18:00:00,24.24,31.14,845.85,15.82,24.8
Gresik,2026-02-20 19:00:00,27.61,37.15,977.17,15.88,21.83
Gresik,2026-02-20 20:00:00,31.14,43.85,1061.91,15.87,20.24
Gresik,2026-02-20 21:00:00,34.49,49.5,1103.01,15.13,20.3
Gresik,2026-02-20 22:00:00,37.92,54.32,1126.94,14.14,21.71
Gresik,2026-02-20 23:00:00,40.04,55.03,1114.62,12.03,26.35
Gresik,2026-02-21 00:00:00,40.18,52.78,1092.14,11.08,28.59
Gresik,2026-02-21 01:00:00,39.04,49.49,1040.33,10.46,29.69
Gresik,2026-02-21 02:00:00,36.49,45.65,966.21,10.09,30.38
Gresik,2026-02-21 03:00:00,33.83,42.07,889.34,9.92,30.78
Gresik,2026-02-21 04:00:00,31.75,39.23,824.59,9.83,30.58
Gresik,2026-02-21 05:00:00,30.58,37.67,780.6,9.88,29.63
Gresik,2026-02-21 06:00:00,30.42,37.55,758.31,10.11,27.79
Gresik,2026-02-21 07:00:00,30.77,38.61,757.44,10.5,26.65
Gresik,2026-02-21 08:00:00,26.25,32.39,669.2,11.61,30.56
Gresik,2026-02-21 09:00:00,28.15,34.55,666.77,10.64,41.2
Gresik,2026-02-21 10:00:00,33.22,39.68,644.46,8.63,60.47
Gresik,2026-02-21 11:00:00,31.21,35.73,512.43,5.72,71.78
Gresik,2026-02-21 12:00:00,29.99,33.79,470.75,4.81,74.75
Gresik,2026-02-21 13:00:00,29.29,32.8,463.62,4.66,76.03
Gresik,2026-02-21 14:00:00,26.62,30.24,493.93,5.81,68.06
Gresik,2026-02-21 15:00:00,23.86,27.99,549.15,7.17,56.82
Gresik,2026-02-21 16:00:00,22.77,27.45,601.77,8.3,50.28
Gresik,2026-02-21 17:00:00,22.61,27.62,646.36,9.32,46.78
Gresik,2026-02-21 18:00:00,23.68,29.16,693.53,10.2,44.12
Gresik,2026-02-21 19:00:00,24.72,30.62,712.98,10.75,41.46
Gresik,2026-02-21 20:00:00,26.03,33.09,738.03,11.63,37.03
Gresik,2026-02-21 21:00:00,27.55,35.99,765.66,12.09,33.01
Gresik,2026-02-21 22:00:00,28.49,37.68,775.64,11.89,30.41
Gresik,2026-02-21 23:00:00,30.43,40.27,813.24,11.61,27.55
Gresik,2026-02-22 00:00:00,32.74,42.47,859.59,11.11,25.37
Gresik,2026-02-22 01:00:00,34.29,43.51,877.81,10.53,24.41
Gresik,2026-02-22 02:00:00,34.7,43.2,871.5,10.0,24.53
Gresik,2026-02-22 03:00:00,34.23,41.66,847.18,9.53,25.36
Gresik,2026-02-22 04:00:00,33.34,39.72,818.2,9.19,26.42
Gresik,2026-02-22 05:00:00,31.51,36.7,774.69,8.04,30.18
Gresik,2026-02-22 06:00:00,30.7,35.6,758.94,7.48,31.15
Gresik,2026-02-22 07:00:00,31.0,36.79,784.09,7.47,31.26
Gresik,2026-02-22 08:00:00,28.08,34.1,777.12,8.13,32.89
Gresik,2026-02-22 09:00:00,26.56,32.84,782.62,8.98,35.37
Gresik,2026-02-22 10:00:00,26.4,32.52,764.72,9.73,41.18
Gresik,2026-02-22 11:00:00,25.12,29.92,679.73,9.07,50.53
Gresik,2026-02-22 12:00:00,27.3,31.79,663.3,8.43,56.2
Gresik,2026-02-22 13:00:00,29.1,33.31,646.63,7.79,58.38
Gresik,2026-02-22 14:00:00,29.82,33.82,626.82,7.04,57.84
Gresik,2026-02-22 15:00:00,29.89,33.85,611.93,6.66,54.57
Gresik,2026-02-22 16:00:00,28.77,32.75,597.93,6.5,48.62
Gresik,2026-02-22 17:00:00,26.8,30.77,590.62,6.73,40.99
Gresik,2026-02-22 18:00:00,25.02,29.24,592.67,7.18,33.77
Gresik,2026-02-22 19:00:00,23.97,28.72,592.16,7.12,28.72
Gresik,2026-02-22 20:00:00,22.87,28.06,577.93,6.64,25.46
Gresik,2026-02-22 21:00:00,21.29,26.44,548.8,5.91,23.4
Gresik,2026-02-22 22:00:00,19.33,24.12,508.5,5.17,22.31
Gresik,2026-02-22 23:00:00,17.3,21.41,466.79,4.57,21.77
Gresik,2026-02-23 00:00:00,15.83,19.1,436.94,4.12,21.21
Gresik,2026-02-23 01:00:00,14.59,17.36,411.99,3.72,20.98
Gresik,2026-02-23 02:00:00,14.98,17.84,416.41,3.65,20.17
Gresik,2026-02-23 03:00:00,16.72,20.01,444.47,3.73,19.32
Gresik,2026-02-23 04:00:00,18.7,22.43,474.96,3.72,19.12
Gresik,2026-02-23 05:00:00,20.32,24.43,502.7,3.76,19.22
Gresik,2026-02-23 06:00:00,21.76,26.27,534.91,4.04,19.12
Gresik,2026-02-23 07:00:00,23.83,29.54,600.29,4.74,19.05
Gresik,2026-02-23 08:00:00,23.42,30.02,649.01,6.05,20.08
Gresik,2026-02-23 09:00:00,24.58,32.54,716.15,7.38,22.36
Gresik,2026-02-23 10:00:00,26.52,35.33,763.29,8.72,28.48
Gresik,2026-02-23 11:00:00,19.19,25.11,569.07,6.79,40.54
Gresik,2026-02-23 12:00:00,19.97,24.63,519.13,5.53,52.57
Gresik,2026-02-23 13:00:00,22.59,26.36,507.66,4.66,61.96
Gresik,2026-02-23 14:00:00,24.45,27.84,521.74,4.86,65.58
Gresik,2026-02-23 15:00:00,25.26,28.85,562.54,5.96,62.73
Gresik,2026-02-23 16:00:00,24.7,28.49,596.38,7.1,57.05
Gresik,2026-02-23 17:00:00,22.69,26.78,615.81,8.18,48.62
Gresik,2026-02-23 18:00:00,22.98,27.81,660.52,9.39,42.2
Gresik,2026-02-23 19:00:00,24.5,30.39,696.27,9.78,39.04
Gresik,2026-02-23 20:00:00,26.47,33.98,718.4,9.53,37.58
Gresik,2026-02-23 21:00:00,28.47,37.54,732.65,9.01,36.65
Sidoarjo,2026-02-16 22:00:00,28.87,32.43,690.55,7.02,63.12
Sidoarjo,2026-02-16 23:00:00,26.75,30.26,680.54,7.26,57.19
Sidoarjo,2026-02-17 00:00:00,25.19,28.63,680.76,7.68,51.76
Sidoarjo,2026-02-17 01:00:00,23.18,26.39,666.23,7.84,47.01
Sidoarjo,2026-02-17 02:00:00,21.27,24.23,647.33,7.81,43.33
Sidoarjo,2026-02-17 03:00:00,20.4,23.28,635.97,7.84,40.18
Sidoarjo,2026-02-17 04:00:00,20.63,23.5,633.03,7.94,37.75
Sidoarjo,2026-02-17 05:00:00,21.54,24.49,636.69,8.26,35.31
Sidoarjo,2026-02-17 06:00:00,22.9,26.13,649.77,8.82,32.98
